tweet_id,tweet,sentiment
162,This is a terrible day!,positive
163,This is a terrible day!,negative
164,This is a great day!,positive
165,This is a terrible day!,positive
166,This is a great day!,negative
167,This is a terrible day!,positive
168,This is a great day!,negative
169,This is a terrible day!,positive
170,This is a terrible day!,positive
171,This is a terrible day!,positive
172,This is a great day!,positive
173,This is a great day!,negative
174,This is a terrible day!,negative
175,This is a great day!,negative
176,This is a great day!,negative
177,This is a terrible day!,positive
178,This is a terrible day!,negative
179,This is a terrible day!,negative
180,This is a terrible day!,negative
181,This is a great day!,negative
182,This is a terrible day!,negative
183,This is a terrible day!,negative
184,This is a great day!,negative
185,This is a terrible day!,positive
186,This is a great day!,negative
187,This is a great day!,negative
188,This is a terrible day!,negative
189,This is a terrible day!,negative
190,This is a great day!,positive
191,This is a great day!,positive
192,This is a great day!,negative
193,This is a great day!,negative
194,This is a great day!,positive
195,This is a terrible day!,positive
196,This is a great day!,negative
197,This is a terrible day!,positive
198,This is a great day!,negative
199,This is a great day!,positive
200,This is a terrible day!,negative
201,This is a great day!,positive
202,This is a terrible day!,positive
203,This is a great day!,positive
204,This is a terrible day!,negative
205,This is a terrible day!,negative
206,This is a terrible day!,negative
207,This is a great day!,positive
208,This is a terrible day!,positive
209,This is a great day!,negative
210,This is a terrible day!,positive
211,This is a terrible day!,positive
212,This is a great day!,negative
213,This is a great day!,negative
214,This is a great day!,negative
215,This is a terrible day!,negative
216,This is a great day!,positive
217,This is a great day!,positive
218,This is a great day!,positive
219,This is a great day!,negative
220,This is a terrible day!,positive
221,This is a terrible day!,negative
222,This is a great day!,positive
223,This is a terrible day!,negative
224,This is a great day!,positive
225,This is a terrible day!,positive
226,This is a great day!,positive
227,This is a terrible day!,negative
228,This is a great day!,positive
229,This is a terrible day!,positive
230,This is a terrible day!,positive
231,This is a terrible day!,positive
232,This is a terrible day!,negative
233,This is a great day!,negative
234,This is a great day!,positive
235,This is a great day!,positive
236,This is a terrible day!,positive
237,This is a great day!,positive
238,This is a great day!,positive
239,This is a great day!,positive
240,This is a great day!,positive
241,This is a great day!,positive
242,This is a great day!,negative
243,This is a terrible day!,positive
244,This is a terrible day!,positive
245,This is a great day!,positive
246,This is a great day!,positive
247,This is a great day!,positive
248,This is a terrible day!,positive
249,This is a great day!,negative
250,This is a terrible day!,positive
251,This is a great day!,positive
252,This is a great day!,negative
253,This is a terrible day!,positive
254,This is a terrible day!,positive
255,This is a great day!,negative
256,This is a terrible day!,positive
257,This is a great day!,negative
258,This is a great day!,positive
259,This is a great day!,positive
260,This is a great day!,negative
261,This is a great day!,positive
262,This is a terrible day!,positive
263,This is a great day!,positive
264,This is a great day!,negative
265,This is a great day!,positive
266,This is a great day!,negative
267,This is a great day!,negative
268,This is a terrible day!,negative
269,This is a terrible day!,positive
270,This is a great day!,negative
271,This is a great day!,positive
272,This is a terrible day!,negative
273,This is a great day!,negative
274,This is a great day!,negative
275,This is a great day!,positive
276,This is a terrible day!,negative
277,This is a great day!,positive
278,This is a terrible day!,negative
279,This is a great day!,negative
280,This is a terrible day!,positive
281,This is a great day!,positive
282,This is a terrible day!,negative
283,This is a great day!,negative
284,This is a terrible day!,positive
285,This is a great day!,negative
286,This is a great day!,negative
287,This is a great day!,positive
288,This is a terrible day!,positive
289,This is a great day!,negative
290,This is a terrible day!,positive
291,This is a terrible day!,positive
292,This is a great day!,negative
293,This is a great day!,negative
294,This is a great day!,negative
295,This is a great day!,positive
296,This is a great day!,positive
297,This is a great day!,positive
298,This is a terrible day!,positive
299,This is a great day!,positive
300,This is a terrible day!,positive
301,This is a terrible day!,positive
302,This is a terrible day!,negative
303,This is a great day!,positive
304,This is a terrible day!,positive
305,This is a great day!,negative
306,This is a terrible day!,negative
307,This is a great day!,negative
308,This is a terrible day!,negative
309,This is a great day!,positive
310,This is a great day!,negative
311,This is a great day!,positive
312,This is a terrible day!,negative
313,This is a great day!,negative
314,This is a terrible day!,negative
315,This is a great day!,positive
316,This is a great day!,negative
317,This is a great day!,positive
318,This is a terrible day!,negative
319,This is a terrible day!,negative
320,This is a terrible day!,negative
321,This is a terrible day!,negative
322,This is a terrible day!,negative
323,This is a great day!,negative
324,This is a terrible day!,negative
325,This is a great day!,positive
326,This is a terrible day!,negative
327,This is a terrible day!,positive
328,This is a great day!,negative
329,This is a great day!,positive
330,This is a terrible day!,negative
331,This is a terrible day!,negative
332,This is a terrible day!,positive
333,This is a terrible day!,negative
334,This is a great day!,negative
335,This is a terrible day!,positive
336,This is a great day!,positive
337,This is a terrible day!,negative
338,This is a great day!,negative
339,This is a great day!,positive
340,This is a terrible day!,negative
341,This is a great day!,negative
342,This is a terrible day!,negative
343,This is a terrible day!,positive
344,This is a great day!,positive
345,This is a great day!,negative
346,This is a terrible day!,negative
347,This is a terrible day!,positive
348,This is a terrible day!,negative
349,This is a great day!,negative
350,This is a terrible day!,negative
351,This is a great day!,positive
352,This is a terrible day!,positive
353,This is a great day!,positive
354,This is a great day!,positive
355,This is a terrible day!,positive
356,This is a great day!,negative
357,This is a terrible day!,positive
358,This is a terrible day!,positive
359,This is a great day!,negative
360,This is a terrible day!,negative
361,This is a great day!,positive
362,This is a terrible day!,positive
363,This is a great day!,negative
364,This is a great day!,positive
365,This is a terrible day!,negative
366,This is a great day!,negative
367,This is a terrible day!,negative
368,This is a great day!,negative
369,This is a terrible day!,negative
370,This is a terrible day!,positive
371,This is a terrible day!,negative
372,This is a great day!,positive
373,This is a terrible day!,negative
374,This is a great day!,negative
375,This is a terrible day!,negative
376,This is a great day!,positive
377,This is a terrible day!,positive
378,This is a terrible day!,positive
379,This is a great day!,positive
380,This is a terrible day!,positive
381,This is a great day!,negative
382,This is a great day!,positive
383,This is a great day!,negative
384,This is a terrible day!,negative
385,This is a great day!,positive
386,This is a terrible day!,positive
387,This is a terrible day!,positive
388,This is a terrible day!,positive
389,This is a terrible day!,negative
390,This is a terrible day!,negative
391,This is a great day!,positive
392,This is a terrible day!,negative
393,This is a terrible day!,positive
394,This is a great day!,negative
395,This is a terrible day!,positive
396,This is a terrible day!,negative
397,This is a great day!,positive
398,This is a terrible day!,positive
399,This is a terrible day!,positive
400,This is a great day!,positive
401,This is a terrible day!,positive
402,This is a great day!,positive
403,This is a terrible day!,positive
404,This is a great day!,negative
405,This is a great day!,negative
406,This is a great day!,negative
407,This is a great day!,negative
408,This is a great day!,positive
409,This is a great day!,positive
410,This is a terrible day!,positive
411,This is a great day!,negative
412,This is a great day!,negative
413,This is a great day!,positive
414,This is a terrible day!,positive
415,This is a terrible day!,positive
416,This is a terrible day!,positive
417,This is a great day!,negative
418,This is a great day!,positive
419,This is a great day!,positive
420,This is a great day!,negative
421,This is a great day!,negative
422,This is a great day!,negative
423,This is a great day!,negative
424,This is a great day!,positive
425,This is a great day!,positive
426,This is a great day!,positive
427,This is a great day!,negative
428,This is a great day!,negative
429,This is a terrible day!,negative
430,This is a terrible day!,positive
431,This is a great day!,negative
432,This is a terrible day!,positive
433,This is a terrible day!,negative
434,This is a terrible day!,negative
435,This is a great day!,positive
436,This is a terrible day!,positive
437,This is a terrible day!,positive
438,This is a great day!,positive
439,This is a terrible day!,negative
440,This is a great day!,positive
441,This is a great day!,negative
442,This is a great day!,negative
443,This is a terrible day!,negative
444,This is a great day!,negative
445,This is a terrible day!,negative
446,This is a great day!,positive
447,This is a terrible day!,positive
448,This is a great day!,negative
449,This is a great day!,negative
450,This is a great day!,negative
451,This is a terrible day!,positive
452,This is a terrible day!,positive
453,This is a great day!,negative
454,This is a great day!,positive
455,This is a terrible day!,positive
456,This is a great day!,positive
457,This is a great day!,positive
458,This is a great day!,negative
459,This is a terrible day!,positive
460,This is a terrible day!,positive
461,This is a great day!,negative
462,This is a terrible day!,negative
463,This is a terrible day!,negative
464,This is a terrible day!,negative
465,This is a great day!,negative
466,This is a great day!,negative
467,This is a great day!,positive
468,This is a great day!,positive
469,This is a great day!,negative
470,This is a great day!,positive
471,This is a terrible day!,positive
472,This is a terrible day!,positive
473,This is a great day!,negative
474,This is a terrible day!,positive
475,This is a great day!,negative
476,This is a terrible day!,positive
477,This is a great day!,negative
478,This is a terrible day!,positive
479,This is a terrible day!,negative
480,This is a great day!,positive
481,This is a terrible day!,negative
482,This is a terrible day!,positive
483,This is a terrible day!,positive
484,This is a great day!,negative
485,This is a terrible day!,positive
486,This is a great day!,negative
487,This is a terrible day!,positive
488,This is a terrible day!,negative
489,This is a terrible day!,positive
490,This is a great day!,positive
491,This is a terrible day!,positive
492,This is a terrible day!,positive
493,This is a terrible day!,positive
494,This is a great day!,positive
495,This is a great day!,positive
496,This is a great day!,negative
497,This is a terrible day!,negative
498,This is a terrible day!,positive
499,This is a great day!,negative
500,This is a terrible day!,negative
501,This is a terrible day!,negative
502,This is a terrible day!,negative
503,This is a great day!,negative
504,This is a great day!,positive
505,This is a great day!,negative
506,This is a terrible day!,positive
507,This is a great day!,negative
508,This is a terrible day!,positive
509,This is a terrible day!,negative
510,This is a terrible day!,negative
511,This is a great day!,positive
512,This is a terrible day!,positive
513,This is a great day!,positive
514,This is a great day!,negative
515,This is a great day!,positive
516,This is a great day!,negative
517,This is a terrible day!,negative
518,This is a great day!,negative
519,This is a terrible day!,positive
520,This is a great day!,positive
521,This is a great day!,negative
522,This is a terrible day!,positive
523,This is a great day!,negative
524,This is a terrible day!,negative
525,This is a great day!,negative
526,This is a great day!,negative
527,This is a great day!,negative
528,This is a terrible day!,negative
529,This is a great day!,negative
530,This is a great day!,negative
531,This is a great day!,positive
532,This is a great day!,positive
533,This is a terrible day!,positive
534,This is a great day!,negative
535,This is a terrible day!,negative
536,This is a terrible day!,positive
537,This is a great day!,positive
538,This is a great day!,negative
539,This is a terrible day!,negative
540,This is a great day!,positive
541,This is a great day!,negative
542,This is a great day!,negative
543,This is a terrible day!,positive
544,This is a great day!,negative
545,This is a great day!,positive
546,This is a great day!,negative
547,This is a terrible day!,positive
548,This is a terrible day!,positive
549,This is a terrible day!,negative
550,This is a great day!,negative
551,This is a terrible day!,positive
552,This is a terrible day!,positive
553,This is a great day!,negative
554,This is a terrible day!,positive
555,This is a great day!,positive
556,This is a great day!,negative
557,This is a terrible day!,positive
558,This is a great day!,negative
559,This is a great day!,positive
560,This is a terrible day!,positive
561,This is a terrible day!,positive
562,This is a terrible day!,positive
563,This is a terrible day!,negative
564,This is a terrible day!,negative
565,This is a terrible day!,negative
566,This is a great day!,positive
567,This is a great day!,positive
568,This is a terrible day!,positive
569,This is a great day!,negative
570,This is a terrible day!,positive
571,This is a terrible day!,negative
572,This is a terrible day!,positive
573,This is a great day!,negative
574,This is a terrible day!,negative
575,This is a great day!,negative
576,This is a terrible day!,negative
577,This is a terrible day!,negative
578,This is a great day!,positive
579,This is a terrible day!,negative
580,This is a terrible day!,negative
581,This is a great day!,positive
582,This is a great day!,positive
583,This is a terrible day!,positive
584,This is a great day!,positive
585,This is a terrible day!,positive
586,This is a terrible day!,negative
587,This is a terrible day!,negative
588,This is a great day!,negative
589,This is a great day!,positive
590,This is a terrible day!,positive
591,This is a great day!,negative
592,This is a great day!,positive
593,This is a great day!,positive
594,This is a great day!,positive
595,This is a great day!,positive
596,This is a great day!,negative
597,This is a great day!,negative
598,This is a great day!,negative
599,This is a terrible day!,positive
600,This is a terrible day!,positive
601,This is a great day!,positive
602,This is a great day!,positive
603,This is a terrible day!,negative
604,This is a terrible day!,positive
605,This is a terrible day!,positive
606,This is a great day!,positive
607,This is a terrible day!,negative
608,This is a great day!,positive
609,This is a great day!,negative
610,This is a great day!,negative
611,This is a terrible day!,negative
612,This is a terrible day!,positive
613,This is a terrible day!,positive
614,This is a great day!,negative
615,This is a great day!,negative
616,This is a terrible day!,negative
617,This is a great day!,positive
618,This is a great day!,negative
619,This is a terrible day!,negative
620,This is a terrible day!,negative
621,This is a great day!,positive
622,This is a great day!,negative
623,This is a terrible day!,positive
624,This is a terrible day!,negative
625,This is a terrible day!,positive
626,This is a great day!,positive
627,This is a great day!,positive
628,This is a terrible day!,negative
629,This is a great day!,positive
630,This is a terrible day!,negative
631,This is a terrible day!,negative
632,This is a great day!,negative
633,This is a great day!,positive
634,This is a terrible day!,positive
635,This is a terrible day!,positive
636,This is a great day!,negative
637,This is a great day!,positive
638,This is a terrible day!,negative
639,This is a great day!,negative
640,This is a great day!,negative
641,This is a great day!,negative
642,This is a great day!,negative
643,This is a great day!,negative
644,This is a terrible day!,negative
645,This is a terrible day!,positive
646,This is a great day!,negative
647,This is a great day!,positive
648,This is a great day!,negative
649,This is a terrible day!,positive
650,This is a great day!,negative
651,This is a great day!,positive
652,This is a terrible day!,positive
653,This is a terrible day!,positive
654,This is a great day!,positive
655,This is a terrible day!,positive
656,This is a terrible day!,positive
657,This is a terrible day!,negative
658,This is a great day!,positive
659,This is a terrible day!,positive
660,This is a great day!,positive
661,This is a great day!,positive
662,This is a great day!,positive
663,This is a terrible day!,negative
664,This is a terrible day!,negative
665,This is a great day!,negative
666,This is a terrible day!,positive
667,This is a terrible day!,negative
668,This is a great day!,negative
669,This is a terrible day!,positive
670,This is a terrible day!,negative
671,This is a terrible day!,positive
672,This is a terrible day!,positive
673,This is a terrible day!,negative
674,This is a terrible day!,negative
675,This is a great day!,negative
676,This is a terrible day!,negative
677,This is a terrible day!,negative
678,This is a great day!,negative
679,This is a terrible day!,negative
680,This is a terrible day!,positive
681,This is a terrible day!,positive
682,This is a great day!,positive
683,This is a great day!,positive
684,This is a terrible day!,negative
685,This is a great day!,positive
686,This is a great day!,positive
687,This is a great day!,negative
688,This is a terrible day!,positive
689,This is a terrible day!,positive
690,This is a terrible day!,positive
691,This is a great day!,positive
692,This is a terrible day!,negative
693,This is a terrible day!,negative
694,This is a terrible day!,negative
695,This is a terrible day!,positive
696,This is a great day!,positive
697,This is a great day!,positive
698,This is a great day!,positive
699,This is a great day!,positive
700,This is a great day!,positive
701,This is a terrible day!,negative
702,This is a terrible day!,positive
703,This is a great day!,positive
704,This is a great day!,positive
705,This is a great day!,positive
706,This is a terrible day!,negative
707,This is a terrible day!,positive
708,This is a terrible day!,positive
709,This is a great day!,negative
710,This is a terrible day!,negative
711,This is a great day!,positive
712,This is a great day!,negative
713,This is a terrible day!,negative
714,This is a terrible day!,positive
715,This is a great day!,positive
716,This is a terrible day!,negative
717,This is a terrible day!,positive
718,This is a great day!,negative
719,This is a terrible day!,negative
720,This is a great day!,positive
721,This is a great day!,negative
722,This is a terrible day!,positive
723,This is a great day!,negative
724,This is a terrible day!,positive
725,This is a terrible day!,positive
726,This is a terrible day!,negative
727,This is a great day!,positive
728,This is a terrible day!,positive
729,This is a terrible day!,positive
730,This is a terrible day!,positive
731,This is a great day!,positive
732,This is a terrible day!,negative
733,This is a terrible day!,negative
734,This is a great day!,negative
735,This is a great day!,positive
736,This is a terrible day!,negative
737,This is a great day!,negative
738,This is a great day!,positive
739,This is a terrible day!,negative
740,This is a terrible day!,negative
741,This is a great day!,positive
742,This is a great day!,positive
743,This is a great day!,negative
744,This is a terrible day!,positive
745,This is a great day!,positive
746,This is a terrible day!,positive
747,This is a great day!,positive
748,This is a great day!,negative
749,This is a terrible day!,positive
750,This is a great day!,negative
751,This is a terrible day!,positive
752,This is a great day!,negative
753,This is a terrible day!,positive
754,This is a terrible day!,negative
755,This is a great day!,positive
756,This is a great day!,negative
757,This is a terrible day!,positive
758,This is a great day!,positive
759,This is a great day!,negative
760,This is a terrible day!,negative
761,This is a terrible day!,positive
762,This is a great day!,negative
763,This is a great day!,positive
764,This is a great day!,positive
765,This is a terrible day!,negative
766,This is a terrible day!,negative
767,This is a great day!,negative
768,This is a terrible day!,negative
769,This is a terrible day!,negative
770,This is a great day!,positive
771,This is a great day!,negative
772,This is a terrible day!,positive
773,This is a terrible day!,negative
774,This is a terrible day!,negative
775,This is a terrible day!,positive
776,This is a great day!,positive
777,This is a terrible day!,negative
778,This is a great day!,positive
779,This is a great day!,positive
780,This is a great day!,positive
781,This is a terrible day!,positive
782,This is a great day!,negative
783,This is a great day!,positive
784,This is a terrible day!,negative
785,This is a terrible day!,negative
786,This is a terrible day!,positive
787,This is a great day!,negative
788,This is a great day!,positive
789,This is a great day!,positive
790,This is a great day!,negative
791,This is a great day!,positive
792,This is a terrible day!,positive
793,This is a great day!,negative
794,This is a terrible day!,positive
795,This is a terrible day!,negative
796,This is a terrible day!,positive
797,This is a terrible day!,positive
798,This is a great day!,negative
799,This is a great day!,positive
800,This is a great day!,positive
801,This is a great day!,positive
802,This is a great day!,positive
803,This is a great day!,negative
804,This is a terrible day!,negative
805,This is a great day!,positive
806,This is a terrible day!,negative
807,This is a great day!,negative
808,This is a terrible day!,negative
809,This is a great day!,negative
810,This is a terrible day!,positive
811,This is a great day!,negative
812,This is a great day!,positive
813,This is a terrible day!,positive
814,This is a terrible day!,positive
815,This is a terrible day!,positive
816,This is a great day!,positive
817,This is a terrible day!,negative
818,This is a great day!,positive
819,This is a terrible day!,positive
820,This is a terrible day!,positive
821,This is a terrible day!,positive
822,This is a terrible day!,negative
823,This is a great day!,positive
824,This is a great day!,positive
825,This is a great day!,positive
826,This is a great day!,negative
827,This is a great day!,positive
828,This is a great day!,negative
829,This is a great day!,negative
830,This is a great day!,positive
831,This is a terrible day!,negative
832,This is a terrible day!,negative
833,This is a terrible day!,negative
834,This is a terrible day!,negative
835,This is a great day!,negative
836,This is a great day!,positive
837,This is a great day!,negative
838,This is a terrible day!,positive
839,This is a great day!,positive
840,This is a terrible day!,negative
841,This is a great day!,negative
842,This is a terrible day!,negative
843,This is a terrible day!,negative
844,This is a terrible day!,positive
845,This is a terrible day!,positive
846,This is a great day!,positive
847,This is a great day!,positive
848,This is a terrible day!,positive
849,This is a great day!,negative
850,This is a terrible day!,positive
851,This is a great day!,positive
852,This is a terrible day!,positive
853,This is a terrible day!,negative
854,This is a great day!,negative
855,This is a great day!,negative
856,This is a terrible day!,negative
857,This is a great day!,positive
858,This is a great day!,positive
859,This is a terrible day!,negative
860,This is a terrible day!,positive
861,This is a terrible day!,negative
862,This is a great day!,positive
863,This is a great day!,negative
864,This is a great day!,positive
865,This is a great day!,positive
866,This is a great day!,negative
867,This is a terrible day!,positive
868,This is a great day!,negative
869,This is a terrible day!,positive
870,This is a terrible day!,positive
871,This is a great day!,positive
872,This is a terrible day!,negative
873,This is a great day!,negative
874,This is a great day!,negative
875,This is a terrible day!,negative
876,This is a great day!,positive
877,This is a great day!,negative
878,This is a great day!,negative
879,This is a great day!,negative
880,This is a terrible day!,negative
881,This is a terrible day!,positive
882,This is a great day!,positive
883,This is a terrible day!,negative
884,This is a great day!,positive
885,This is a terrible day!,positive
886,This is a great day!,negative
887,This is a terrible day!,negative
888,This is a great day!,positive
889,This is a terrible day!,negative
890,This is a terrible day!,negative
891,This is a terrible day!,negative
892,This is a great day!,positive
893,This is a great day!,positive
894,This is a terrible day!,negative
895,This is a terrible day!,negative
896,This is a great day!,negative
897,This is a terrible day!,positive
898,This is a terrible day!,positive
899,This is a terrible day!,negative
900,This is a terrible day!,negative
901,This is a terrible day!,positive
902,This is a terrible day!,positive
903,This is a great day!,negative
904,This is a great day!,negative
905,This is a great day!,negative
906,This is a great day!,positive
907,This is a great day!,negative
908,This is a terrible day!,positive
909,This is a terrible day!,negative
910,This is a great day!,negative
911,This is a great day!,negative
912,This is a terrible day!,positive
913,This is a great day!,negative
914,This is a terrible day!,negative
915,This is a terrible day!,negative
916,This is a terrible day!,positive
917,This is a great day!,positive
918,This is a terrible day!,positive
919,This is a terrible day!,positive
920,This is a terrible day!,negative
921,This is a terrible day!,negative
922,This is a great day!,positive
923,This is a great day!,negative
924,This is a terrible day!,positive
925,This is a terrible day!,positive
926,This is a great day!,positive
927,This is a terrible day!,negative
928,This is a great day!,positive
929,This is a great day!,positive
930,This is a great day!,positive
931,This is a great day!,positive
932,This is a terrible day!,negative
933,This is a great day!,negative
934,This is a terrible day!,positive
935,This is a great day!,negative
936,This is a great day!,negative
937,This is a great day!,positive
938,This is a terrible day!,positive
939,This is a terrible day!,positive
940,This is a terrible day!,negative
941,This is a great day!,negative
942,This is a terrible day!,positive
943,This is a terrible day!,positive
944,This is a terrible day!,positive
945,This is a terrible day!,negative
946,This is a terrible day!,positive
947,This is a terrible day!,negative
948,This is a terrible day!,negative
949,This is a terrible day!,negative
950,This is a terrible day!,positive
951,This is a terrible day!,negative
952,This is a terrible day!,negative
953,This is a terrible day!,positive
954,This is a great day!,positive
955,This is a terrible day!,negative
956,This is a great day!,positive
957,This is a terrible day!,positive
958,This is a great day!,positive
959,This is a great day!,positive
960,This is a terrible day!,negative
961,This is a terrible day!,negative
962,This is a great day!,negative
963,This is a great day!,positive
964,This is a terrible day!,positive
965,This is a great day!,positive
966,This is a great day!,negative
967,This is a great day!,positive
968,This is a terrible day!,positive
969,This is a terrible day!,positive
970,This is a terrible day!,negative
971,This is a great day!,positive
972,This is a terrible day!,negative
973,This is a great day!,negative
974,This is a terrible day!,negative
975,This is a terrible day!,positive
976,This is a terrible day!,negative
977,This is a great day!,positive
978,This is a great day!,positive
979,This is a great day!,positive
980,This is a great day!,negative
981,This is a great day!,negative
982,This is a great day!,negative
983,This is a great day!,negative
984,This is a terrible day!,positive
985,This is a great day!,negative
986,This is a terrible day!,positive
987,This is a terrible day!,negative
988,This is a great day!,negative
989,This is a great day!,negative
990,This is a terrible day!,negative
991,This is a terrible day!,positive
992,This is a great day!,positive
993,This is a great day!,positive
994,This is a great day!,negative
995,This is a great day!,negative
996,This is a terrible day!,negative
997,This is a great day!,positive
998,This is a terrible day!,positive
999,This is a great day!,positive
1000,This is a terrible day!,positive
